Model,Brand,Date of Sale,Sale Price (€),Year,Mileage,Classification,Transmission,Fuel Type,Description,Sale Location,Car Age at Sale
Volkswagen Passat (Highline),Volkswagen,2024-08-24,3908.0,2009,127363,Estate,Automatic,Diesel,Blue Volkswagen Passat2.0 TDI Highline DSG Euro 5 5dr2 previous owners,Limerick,15
Volkswagen Polo (BlueMotion Tech),Volkswagen,2024-08-25,9969.0,2014,45324,Hatchback,Automatic,Petrol,Grey Volkswagen Polo1.2 TSI BlueMotion Tech SE DSG Euro 6 (s/s) 3dr3 previous owners,Cork,10
Volkswagen Golf (TDI),Volkswagen,2024-08-27,7610.0,2012,48207,Estate,Manual,Diesel,Grey Volkswagen Golf1.6 TDI SE Euro 5 5dr1 previous owner,Louth,12
Volkswagen Beetle (Sport),Volkswagen,2024-08-28,7827.0,2012,70277,Hatchback,Manual,Petrol,Black Volkswagen Beetle1.4 TSI Sport Euro 5 3dr,Meath,12
Volkswagen Polo (BlueMotion Tech),Volkswagen,2024-08-28,8087.0,2015,57989,Hatchback,Manual,Petrol,Red Volkswagen Polo1.0L SE 5d 60 BHP2 previous owners,Dublin,9
Volkswagen CC (TDI),Volkswagen,2024-08-28,13139.0,2014,39985,Saloon,Automatic,Diesel,Navy Volkswagen CC2.0 TDI BlueMotion Tech GT DSG Euro 5 (s/s) 4dr3 previous owners,Dublin,10
Volkswagen T-Cross (SE),Volkswagen,2024-08-29,20462.0,2021,5000,SUV,Manual,Petrol,Grey Volkswagen T-Cross1.0 TSI SE 5dr1 previous owner,Cork,3
Volkswagen Polo (BlueMotion Tech),Volkswagen,2024-09-03,10397.0,2016,32696,Hatchback,Manual,Petrol,Black Volkswagen Polo1.2 TSI Match 90PS 3Dr Hatchback,Limerick,8
Volkswagen Tiguan (R-Line),Volkswagen,2024-09-03,13176.0,2011,37042,SUV,Automatic,Diesel,Navy Volkswagen Tiguan2.0 TDI R-Line DSG 4WD Euro 5 5dr,Clare,13
Volkswagen Golf (GT),Volkswagen,2024-09-04,13935.0,2018,54202,Hatchback,Manual,Diesel,Red Volkswagen Golf1.6 TDI GT 5dr,Meath,6
Volkswagen Golf (GTI),Volkswagen,2024-09-04,12753.0,2014,91314,Hatchback,Automatic,Petrol,Black Volkswagen Golf2.0 TSI BlueMotion Tech GTI DSG Euro 6 (s/s) 5dr,Wexford,10
Volkswagen Polo (TSI),Volkswagen,2024-09-05,10119.0,2017,44714,Hatchback,Manual,Petrol,Black Volkswagen Polo1.2 TSI Match (s/s) 5dr2 previous owners,Donegal,7
Volkswagen Golf (TDI),Volkswagen,2024-09-07,3780.0,2010,108486,Hatchback,Manual,Diesel,Blue Volkswagen Golf1.6 TDI SE Hatchback 5dr Diesel Manual Euro 5 (105 ps)1 previous owner,Dublin,14
Volkswagen CC (BlueMotion Tech),Volkswagen,2024-09-10,7850.0,2015,94091,Saloon,Manual,Diesel,Red Volkswagen CC2.0 TDI BlueMotion Tech GT Euro 6 (s/s) 4dr2 previous owners,Dublin,9
Volkswagen T-Roc (TSI),Volkswagen,2024-09-10,33156.0,2020,10551,SUV,Automatic,Petrol,Black Volkswagen T-Roc2.0 TSI 4MOTION R 5dr DSG,Kildare,4
Volkswagen up! (High up!),Volkswagen,2024-09-12,7461.0,2013,40014,Hatchback,Manual,Petrol,Grey Volkswagen UP1.0 BLUEMOTION TECH HIGH UP 3DR1 previous owner,Dublin,11
Volkswagen ID.4 (Pro Performance),Volkswagen,2024-09-13,51176.0,2021,12285,SUV,Automatic,Electric,Navy Volkswagen ID4MAX 5d 202 BHP VW WARRANTY UNTIL 16/12/2024!1 previous owner,Tipperary,3
Volkswagen ID.3 (Pro Performance),Volkswagen,2024-09-14,37491.0,2021,19673,Hatchback,Automatic,Electric,Grey Volkswagen ID.3Pro Performance 58kWh Business Auto 5dr,Meath,3
Volkswagen Tiguan (SEL),Volkswagen,2024-09-15,20200.0,2016,50491,SUV,Automatic,Petrol,Grey Volkswagen Tiguan2.0 TSi 180 4Motion SEL DSG 5dr,Kerry,8
Volkswagen Polo (Match Edition),Volkswagen,2024-09-15,13979.0,2017,20060,Hatchback,Automatic,Petrol,Blue Volkswagen Polo1.2 TSI BlueMotion Tech Match Edition DSG Euro 6 (s/s) 5dr2 previous owners,Dublin,7
Volkswagen Golf (R-Line Edition),Volkswagen,2024-09-15,23789.0,2020,9875,Hatchback,Automatic,Diesel,Blue Volkswagen Golf2.0 TDI R-Line Edition 5dr DSG,Cork,4
Volkswagen Tiguan (Match),Volkswagen,2024-09-16,25187.0,2019,10943,SUV,Automatic,Diesel,Silver Volkswagen Tiguan2.0 TDi 190 4Motion Match 5dr DSG,Kerry,5
Volkswagen Golf (R-Line),Volkswagen,2024-09-16,29924.0,2022,5111,Hatchback,Automatic,Petrol Hybrid,Black Volkswagen Golf1.5 Etsi 150 R-Line 5Dr Dsg1 previous owner,Meath,2
Volkswagen Tiguan (TDI),Volkswagen,2024-09-16,12767.0,2015,47735,SUV,Automatic,Diesel,Grey Volkswagen Tiguan2.0 TDI BlueMotion Tech Match DSG 4WD Euro 5 (s/s) 5dr2 previous owners,Cork,9
Volkswagen Scirocco (GT),Volkswagen,2024-09-17,13250.0,2014,33942,Hatchback,Automatic,Diesel,Black Volkswagen Scirocco2.0 GT TDI BLUEMOTION TECHNOLOGY DSG 2d 182 BHP2 previous owners,Kildare,10
Volkswagen Golf (TSI EVO),Volkswagen,2024-09-18,18874.0,2020,11097,Hatchback,Manual,Petrol,Volkswagen GolfMK7 Facelift 1.5 TSI (130ps)Match Edition EVO 5dr1 previous owner,Tipperary,4
Volkswagen T-Cross (TSI),Volkswagen,2024-09-18,17736.0,2019,10959,SUV,Manual,Petrol,Blue Volkswagen T-Cross1.0 TSI S 5dr,Wicklow,5
Volkswagen Golf (GTI),Volkswagen,2024-09-19,32747.0,2021,5942,Hatchback,Automatic,Petrol,Blue Volkswagen GolfGTI TSI DSG 2.0 5dr,Laois,3
Volkswagen T-Cross (SE),Volkswagen,2024-09-19,17487.0,2020,25457,SUV,Manual,Petrol,Volkswagen T-Cross1.0 Tsi 115 Se 5Dr1 previous owner,Dublin,4
Volkswagen ID.3 (Pro Performance),Volkswagen,2024-09-19,36949.0,2020,11333,Hatchback,Automatic,Electric,Black Volkswagen ID.3Business Pro Performance (204ps) Auto 5dr1 previous owner,Dublin,4
Volkswagen T-Roc (TSI EVO),Volkswagen,2024-09-20,22866.0,2019,15117,SUV,Manual,Petrol,Red Volkswagen T-Roc2017 1.5 TSI SEL 150PS EVO 5dr,Dublin,5
Volkswagen Golf (Match Edition),Volkswagen,2024-09-20,11657.0,2016,48218,Hatchback,Manual,Diesel,Grey Volkswagen Golf1.6 TDI BlueMotion Tech Match Edition Sat Nav 5dr2 previous owners,Dublin,8
Volkswagen Touareg (TDI V6),Volkswagen,2024-09-20,25181.0,2017,36892,SUV,Automatic,Diesel,Blue Volkswagen Touareg3.0 TDI V6 R-Line Tiptronic 4WD Euro 6 (s/s) 5dr2 previous owners,Dublin,7
Volkswagen Golf (Match Edition),Volkswagen,2024-09-20,19681.0,2020,14461,Estate,Manual,Diesel,Blue Volkswagen GolfEstate Match Edition 1.6 TDI 115PS Manual [DASHCAMS + TOWBAR] 5dr1 previous owner,Cork,4
Volkswagen Golf (Match),Volkswagen,2024-09-21,10805.0,2015,50800,Hatchback,Manual,Diesel,Black Volkswagen Golf1.6 MATCH TDI BLUEMOTION TECHNOLOGY 5d 109 BHP,Dublin,9
Volkswagen Tiguan (Match),Volkswagen,2024-09-24,12390.0,2015,81442,SUV,Automatic,Diesel,Blue Volkswagen Tiguan2.0 TDI BlueMotion Tech Match DSG 4WD Euro 5 (s/s) 5dr2 previous owners,Kilkenny,9
Volkswagen Tiguan (SEL),Volkswagen,2024-09-26,26173.0,2019,37444,SUV,Automatic,Petrol,Red Volkswagen Tiguan2.0 SEL TSI 4MOTION DSG 5d 188 BHP 1 OWNER+ PAN ROOF+SAT NAV+DYN AUDIO,Leitrim,5
Volkswagen Passat (TSI),Volkswagen,2024-09-26,31611.0,2021,33316,Estate,Automatic,Petrol Hybrid,Silver Volkswagen Passat1.4 TSI PHEV GTE 5dr DSG,Dublin,3
Volkswagen Passat (TSI EVO),Volkswagen,2024-09-26,30275.0,2021,7150,Estate,Automatic,Petrol,Volkswagen Passat1.5 TSI EVO R-Line 5dr DSG2 previous owners,Waterford,3
Volkswagen T-Roc (TSI EVO),Volkswagen,2024-09-28,24165.0,2019,21141,SUV,Automatic,Petrol,Navy Volkswagen T-Roc Hatchback1.5 TSI EVO SEL 5dr DSG1 previous owner,Donegal,5
Volkswagen Golf (BlueMotion Tech),Volkswagen,2024-09-29,9157.0,2013,83944,Hatchback,Manual,Petrol,Silver Volkswagen Golf1.4 TSI BlueMotion Tech ACT GT Euro 6 (s/s) 5dr1 previous owner,Galway,11
Volkswagen Golf (S),Volkswagen,2024-09-29,5089.0,2009,62046,Hatchback,Manual,Petrol,Volkswagen Golf1.4 S 5dr2 previous owners,Donegal,15
Volkswagen Golf (Match),Volkswagen,2024-10-03,9780.0,2012,41347,Hatchback,Manual,Petrol,Blue Volkswagen Golf1.4 MATCH TSI 5d 121 BHP WARRANTY & BREAKDOWN COVER INCLUDED,Galway,12
Volkswagen Tiguan (R-Line),Volkswagen,2024-10-04,33946.0,2021,14528,SUV,Automatic,Petrol,Blue Volkswagen Tiguan1.5 TSI (150ps) R-Line EVO DSG 5dr,Longford,3
Volkswagen Tiguan Allspace (R-Line Tech),Volkswagen,2024-10-04,31035.0,2020,35557,SUV,Automatic,Petrol,Volkswagen Tiguan Allspace1.5 TSI EVO R-Line Tech DSG Euro 6 (s/s) 5dr,Meath,4
Volkswagen Golf (R),Volkswagen,2024-10-05,28627.0,2018,20786,Hatchback,Automatic,Petrol,Blue Volkswagen Golf2.0 R TSI DSG 5d 306 BHP5 previous owners,Tipperary,6
Volkswagen Polo (TSI),Volkswagen,2024-10-07,8945.0,2019,22560,Hatchback,Manual,Petrol,Navy Volkswagen Polo1.0 TSI SE Hatchback 5dr Petrol Manual Euro 6 (s/s) (95 ps)2 previous owners,Donegal,5
Volkswagen T-Roc (TDI),Volkswagen,2024-10-08,22294.0,2018,19952,SUV,Manual,Diesel,Volkswagen T-Roc1.6 TDI 115PS R-Line 5dr,Galway,6
Volkswagen Golf (R),Volkswagen,2024-10-08,18194.0,2016,92585,Hatchback,Automatic,Petrol,"Blue Volkswagen Golf2.0 R DSG 5d 298 BHP SAT NAV, XENONS, DAB & 18"" ALLOYS1 previous owner",Tipperary,8
Volkswagen T-Roc (Design),Volkswagen,2024-10-08,19443.0,2018,26385,SUV,Manual,Petrol,Grey Volkswagen T-Roc2017 1.0 TSI Design 115PS 5dr,Carlow,6
Volkswagen Passat (BlueMotion),Volkswagen,2024-10-10,12604.0,2016,62988,Estate,Manual,Diesel,Silver Volkswagen Passat1.6 BLUEMOTION TDI (120) 5dr,Kildare,8
Volkswagen Polo (S),Volkswagen,2024-10-11,5248.0,2013,75938,Hatchback,Manual,Petrol,Red Volkswagen Polo1.2 S Euro 5 3dr2 previous owners,Dublin,11
Volkswagen up! (High up!),Volkswagen,2024-10-12,9486.0,2017,31431,Hatchback,Manual,Petrol,Black Volkswagen UP!Up 2016 1.0 75PS High 5Dr1 previous owner,Carlow,7
Volkswagen Golf (BlueMotion Tech),Volkswagen,2024-10-13,5919.0,2013,124088,Hatchback,Manual,Diesel,Volkswagen Golf1.6 TDI BlueMotion Tech S Euro 5 (s/s) 5dr4 previous owners,Galway,11
Volkswagen Polo (BlueGT),Volkswagen,2024-10-14,13942.0,2016,23455,Hatchback,Manual,Petrol,Blue Volkswagen Polo1.4 TSI BlueMotion Tech ACT BlueGT Euro 6 (s/s) 3dr,Dublin,8
Volkswagen Polo (BlueMotion Tech),Volkswagen,2024-10-14,10095.0,2017,42597,Hatchback,Manual,Petrol,Red Volkswagen Polo1.0 Match Hatchback 5dr Petrol Manual 108 g/km 74.0 BHP,Meath,7
Volkswagen Tiguan (TDI),Volkswagen,2024-10-14,9701.0,2011,70344,SUV,Manual,Diesel,Black Volkswagen Tiguan2.0 TDI R-Line 4WD Euro 5 5dr4 previous owners,Kildare,13
Volkswagen Golf (GTD),Volkswagen,2024-10-15,8225.0,2012,113143,Hatchback,Manual,Diesel,Blue Volkswagen Golf2.0 TDI GTD 3dr,Dublin,12
Volkswagen Polo (BlueMotion Tech),Volkswagen,2024-10-19,10147.0,2015,29003,Hatchback,Manual,Petrol,Red Volkswagen Polo1.0 S 5dr,Dublin,9
Volkswagen Passat (TDI),Volkswagen,2024-10-19,4471.0,2011,143962,Saloon,Manual,Diesel,Grey Volkswagen Passat2.0 SPORT TDI BLUEMOTION TECHNOLOGY 4d 139 BHP \xa330 TAX,Wicklow,13
Volkswagen Polo (TSI),Volkswagen,2024-10-20,12302.0,2016,28818,Hatchback,Manual,Petrol,Silver Volkswagen Polo1.2 TSI BlueMotion Tech R-Line Euro 6 (s/s) 5dr2 previous owners,Dublin,8
Volkswagen Polo (R-Line),Volkswagen,2024-10-20,20430.0,2021,11477,Hatchback,Manual,Petrol,Blue Volkswagen Polo1.0 TSI 110 R-Line 5dr,Monaghan,3
Volkswagen T-Roc (SE),Volkswagen,2024-10-20,20012.0,2020,15451,SUV,Manual,Petrol,Blue Volkswagen T-Roc1.0 Tsi Se 5Dr1 previous owner,Laois,4
Volkswagen Passat (SE),Volkswagen,2024-10-21,5130.0,2011,111225,Estate,Manual,Diesel,Volkswagen Passat2.0 TDI BlueMotion Tech SE Euro 5 (s/s) 5dr2 previous owners,Donegal,13
Volkswagen Passat (BlueMotion Tech),Volkswagen,2024-10-21,6111.0,2012,89254,Saloon,Manual,Diesel,Volkswagen Passat2.0 TDI BlueMotion Tech SE 4dr4 previous owners,Louth,12
Volkswagen Golf (SE),Volkswagen,2024-10-22,7509.0,2013,80402,Hatchback,Manual,Diesel,Black Volkswagen Golf2.0 TDI BlueMotion Tech SE Euro 5 (s/s) 5dr3 previous owners,Wicklow,11
Volkswagen Polo (TDI),Volkswagen,2024-10-22,7350.0,2013,47438,Hatchback,Manual,Diesel,Blue Volkswagen Polo1.2 TDI Match Edition Euro 5 5dr,Mayo,11
Volkswagen Passat (BlueMotion Tech),Volkswagen,2024-10-23,8607.0,2015,128709,Saloon,Automatic,Diesel,Navy Volkswagen Passat2.0 TDI BlueMotion Tech SE Business DSG Euro 6 (s/s) 4dr2 previous owners,Kildare,9
Volkswagen Passat (S),Volkswagen,2024-10-25,7364.0,2014,65093,Saloon,Manual,Diesel,Black Volkswagen Passat1.6 TDI BlueMotion Tech S Euro 5 (s/s) 4dr2 previous owners,Sligo,10
Volkswagen Touareg (Black Edition),Volkswagen,2024-10-26,52534.0,2020,18443,SUV,Automatic,Diesel,Red Volkswagen Touareg3.0 TDI V6 Black Edition SUV 5dr Diesel Tiptronic 4Motion Euro 6 (s/s) (286 ps),Limerick,4
Volkswagen Golf (TSI),Volkswagen,2024-10-27,11789.0,2015,112321,Hatchback,Automatic,Petrol Hybrid,Grey Volkswagen Golf1.4 TSI GTE DSG Euro 6 (s/s) 5dr,Dublin,9
Volkswagen Golf (Active),Volkswagen,2024-10-28,24895.0,2022,6227,Hatchback,Manual,Petrol,Red Volkswagen Golf1.5 TSI 150 Active 5dr Petrol Hatchback,Roscommon,2
Volkswagen Polo (TSI),Volkswagen,2024-10-28,9820.0,2015,33072,Hatchback,Manual,Petrol,Red Volkswagen Polo1.2 TSI BlueMotion Tech SE Euro 6 (s/s) 5dr2 previous owners,Sligo,9
Volkswagen Tiguan (R-Line),Volkswagen,2024-10-30,43108.0,2022,5019,SUV,Automatic,Diesel,Navy Volkswagen TiguanR-Line 2.0 TDI 200PS 7-Speed DSG 4Motion 5 Door,Meath,2
Volkswagen T-Roc (TSI EVO),Volkswagen,2024-10-30,21918.0,2018,11987,SUV,Manual,Petrol,Red Volkswagen T-Roc1.5 TSI EVO SEL 5dr1 previous owner,Louth,6
Volkswagen ID.4 (Family),Volkswagen,2024-11-02,54167.0,2022,8861,SUV,Automatic,Electric,Black Volkswagen ID.4Family 77kWh Pro Performance 204PS 1-speed automatic 5 Door1 previous owner,Wexford,2
Volkswagen Polo (TSI),Volkswagen,2024-11-02,11895.0,2017,32768,Hatchback,Manual,Petrol,Navy Volkswagen Polo1.2 TSI Match Edition 5dr,Dublin,7
Volkswagen CC (BlueMotion Tech),Volkswagen,2024-11-03,14312.0,2015,56609,Saloon,Automatic,Diesel,Blue Volkswagen CC2.0 TDI BlueMotion Tech R-Line DSG Euro 5 (s/s) 4dr,Limerick,9
Volkswagen T-Cross (TSI),Volkswagen,2024-11-04,17526.0,2019,15197,SUV,Manual,Petrol,Blue Volkswagen T-Cross1.0 TSI S 5dr,Dublin,5
Volkswagen T-Roc (TDI),Volkswagen,2024-11-06,21414.0,2019,21801,SUV,Manual,Diesel,Silver Volkswagen T-Roc2.0 TDI 4MOTION SEL 5dr,Galway,5
Volkswagen Golf (R-Line),Volkswagen,2024-11-08,28223.0,2022,3143,Hatchback,Manual,Petrol,Red Volkswagen Golf Hatchback1.5 TSI R-Line 5dr1 previous owner,Cork,2
Volkswagen Polo (SE Tech Edition),Volkswagen,2024-11-08,16188.0,2019,25424,Hatchback,Automatic,Petrol,Blue Volkswagen Polo MK6 5d Hatch 1.0 TSI 95PS SE Tech Edition DSG1.0 TSI SE Tech Edition DSG Euro 6 (s/s) 5dr,Kerry,5
Volkswagen Golf Plus (SE),Volkswagen,2024-11-09,5134.0,2012,72059,Hatchback,Manual,Diesel,Volkswagen Golf Plus Diesel Hatchback2.0 SE TDI 5DR Manual1 previous owner,Cork,12
Volkswagen Passat (SE Business),Volkswagen,2024-11-11,8610.0,2016,126233,Estate,Manual,Diesel,Volkswagen Passat2.0 TDI BlueMotion Tech SE Business Euro 6 (s/s) 5dr,Dublin,8
Volkswagen Golf (SE Nav),Volkswagen,2024-11-11,14329.0,2017,32796,Hatchback,Manual,Petrol,Red Volkswagen GolfSe Navigation Tsi Bm 1.4 5dr,Carlow,7
Volkswagen Tiguan Allspace (TDI),Volkswagen,2024-11-11,26782.0,2019,14396,SUV,Manual,Diesel,Grey Volkswagen Tiguan Allspace2.0 TDI Match Euro 6 (s/s) 5dr,Limerick,5
Volkswagen Golf (GTI Performance),Volkswagen,2024-11-12,21798.0,2018,59029,Hatchback,Automatic,Petrol,Blue Volkswagen Golf2.0 TSI 245 GTI Performance DSG 5dr,Dublin,6
Volkswagen Golf (BlueMotion Tech),Volkswagen,2024-11-12,10232.0,2018,107128,Estate,Automatic,Diesel,Volkswagen Golf1.6 SE NAVIGATION TDI BLUEMOTION TECHNOLOGY DSG 5d 114 BHP1 previous owner,Tipperary,6
Volkswagen Golf (eTSI),Volkswagen,2024-11-14,29958.0,2020,11116,Hatchback,Automatic,Petrol Hybrid,Navy Volkswagen Golf1.5 eTSI MHEV R-Line DSG (s/s) 5dr1 previous owner,Tipperary,4
Volkswagen Golf (R-Line Edition),Volkswagen,2024-11-15,16821.0,2017,26563,Hatchback,Manual,Petrol,Black Volkswagen Golf1.4 TSI 150 R-LINE EDITION 5DR1 previous owner,Cavan,7
Volkswagen Polo (Match),Volkswagen,2024-11-16,4183.0,2009,61825,Hatchback,Manual,Diesel,Red Volkswagen Polo1.4 TDI Match 5dr2 previous owners,Laois,15
Volkswagen Golf (SE Nav),Volkswagen,2024-11-19,13999.0,2017,37868,Hatchback,Manual,Diesel,Red Volkswagen Golf1.6 TDI SE [Nav] 5dr,Dublin,7
Volkswagen Polo (BlueMotion Tech),Volkswagen,2024-11-20,10690.0,2016,23797,Hatchback,Manual,Petrol,Red Volkswagen Polo1.0 Match 5dr1 previous owner,Tipperary,8
Volkswagen Tiguan (BlueMotion Tech),Volkswagen,2024-11-21,7306.0,2013,116315,SUV,Manual,Diesel,Navy Volkswagen Tiguan2.0 TDI BlueMotion Tech Match 4WD Euro 5 (s/s) 5dr3 previous owners,Dublin,11
Volkswagen Golf (TSI),Volkswagen,2024-11-21,7711.0,2011,56899,Hatchback,Manual,Petrol,Black Volkswagen Golf1.4 TSI Match Euro 5 5dr2 previous owners,Waterford,13
Volkswagen Polo (TSI),Volkswagen,2024-11-21,10072.0,2016,33639,Hatchback,Manual,Petrol,Blue Volkswagen Polo1.2L SE BlueMotion Tech TSI 5dr,Monaghan,8
Volkswagen Touareg (TDI V6),Volkswagen,2024-11-22,55146.0,2021,24884,SUV,Automatic,Diesel,Black Volkswagen Touareg3.0 TDI V6 Black Edition Tiptronic 4Motion Euro 6 (s/s) 5dr,Dublin,3
Volkswagen Polo (EVO),Volkswagen,2024-11-23,16033.0,2020,12466,Hatchback,Manual,Petrol,Volkswagen Polo1.0 EVO 80 Match 5dr,Dublin,4
Volkswagen Golf (BlueMotion Tech),Volkswagen,2024-11-24,7088.0,2013,88262,Hatchback,Manual,Diesel,Red Volkswagen Golf1.6 TDI BlueMotion Tech SE Euro 5 (s/s) 5dr,Louth,11
Volkswagen Polo (BlueMotion Tech),Volkswagen,2024-11-24,9716.0,2016,40759,Hatchback,Manual,Petrol,Blue Volkswagen Polo1.2 SE TSI 5d 89 BHP,Kilkenny,8
Volkswagen Tiguan (S),Volkswagen,2024-11-24,9908.0,2014,74521,SUV,Manual,Diesel,Volkswagen Tiguan2.0 TDI BlueMotion Tech S 2WD Euro 5 (s/s) 5dr3 previous owners,Dublin,10
Volkswagen Golf (TSI EVO),Volkswagen,2024-11-25,17132.0,2018,17207,Hatchback,Manual,Petrol,Volkswagen Golf1.5 TSI EVO 150 SE [Nav] 5dr,Kilkenny,6
Volkswagen Golf (Match),Volkswagen,2024-11-26,12982.0,2019,74571,Hatchback,Manual,Diesel,Red Volkswagen Golf1.6L Match TDI 5dr,Cork,5
Volkswagen Tiguan (BlueMotion Tech),Volkswagen,2024-11-28,17237.0,2016,39876,SUV,Manual,Petrol,Navy Volkswagen TiguanVolkswagen Tiguan 1.4 TSi 150 SE Nav 5dr 2WD2 previous owners,Tipperary,8
Volkswagen T-Roc (TSI EVO),Volkswagen,2024-11-29,23859.0,2019,14074,SUV,Automatic,Petrol,Black Volkswagen T-Roc1.5 Tsi Evo Design 5Dr Dsg2 previous owners,Dublin,5
Volkswagen T-Cross (TSI),Volkswagen,2024-11-29,19007.0,2021,10291,SUV,Manual,Petrol,Red Volkswagen T-Cross Estate1.0 TSI 110 SE 5dr1 previous owner,Kildare,3
Volkswagen Golf (TSI),Volkswagen,2024-11-30,8896.0,2015,42438,Hatchback,Automatic,Petrol,Grey Volkswagen Golf1.4 TSI BlueMotion Tech S DSG Euro 5 (s/s) 5dr21 previous owners,Galway,9
Volkswagen Passat (GT),Volkswagen,2024-11-30,15172.0,2015,46147,Saloon,Automatic,Diesel,Volkswagen Passat2.0 TDI GT 4dr DSG2 previous owners,Laois,9
Volkswagen Golf (BlueMotion Tech),Volkswagen,2024-11-30,6191.0,2013,112389,Hatchback,Manual,Petrol,Red Volkswagen Golf1.2 TSI BlueMotion Tech S Euro 5 (s/s) 5dr2 previous owners,Dublin,11
Volkswagen Tiguan (SE),Volkswagen,2024-12-01,10123.0,2013,66911,SUV,Manual,Diesel,Blue Volkswagen Tiguan2.0 SE TDI BLUEMOTION TECHNOLOGY 4MOTION 5d 175 BHP DAB-BLUETOOTH-CLIMATE AIR CON,Wexford,11
Volkswagen T-Roc (Design),Volkswagen,2024-12-01,19322.0,2018,18564,SUV,Manual,Petrol,Black Volkswagen T-Roc1.0 TSI Design 5dr,Wexford,6
Volkswagen Golf (R),Volkswagen,2024-12-05,43650.0,2021,6242,Hatchback,Automatic,Petrol,Volkswagen Golf2.0 TSI 320 R 4Motion 5dr DSG,Dublin,3
Volkswagen Passat (BlueMotion Tech),Volkswagen,2024-12-06,7573.0,2014,107681,Saloon,Manual,Diesel,Silver Volkswagen Passat1.6 TDI BlueMotion Tech R-Line 4dr3 previous owners,Dublin,10
Volkswagen T-Cross (TSI),Volkswagen,2024-12-06,20702.0,2020,7788,SUV,Manual,Petrol,Black Volkswagen T-Cross1.0 TSI SE 5dr,Cork,4
Volkswagen Golf (Style),Volkswagen,2024-12-06,22631.0,2020,11115,Hatchback,Manual,Petrol,Red Volkswagen GolfMK8 Hatchback 5-Dr 1.5 TSI (130ps) Style EVO 5dr1 previous owner,Tipperary,4
Volkswagen Polo (SE),Volkswagen,2024-12-08,8790.0,2015,69266,Hatchback,Manual,Petrol,Silver Volkswagen Polo1.2 TSI BlueMotion Tech SE Euro 6 (s/s) 5dr1 previous owner,Dublin,9
Volkswagen Eos (Sport),Volkswagen,2024-12-10,3700.0,2009,89145,Convertible,Manual,Petrol,Blue Volkswagen EOS2.0 TSI Sport Cabriolet Euro 4 2dr2 previous owners,Dublin,15
Volkswagen Polo (BlueMotion Tech),Volkswagen,2024-12-11,10324.0,2016,49335,Hatchback,Manual,Petrol,Volkswagen Polo1.2 MATCH TSI 5d 89 BHP FREE BREAKDOWN COVER2 previous owners,Tipperary,8
Volkswagen Golf Plus (TSI),Volkswagen,2024-12-12,4170.0,2010,100738,Hatchback,Manual,Petrol,Blue Volkswagen Golf Plus1.4 TSI SE Euro 5 5dr3 previous owners,Kildare,14
Volkswagen Golf (Life),Volkswagen,2024-12-13,23493.0,2021,3238,Hatchback,Manual,Petrol,Red Volkswagen Golf1.5 TSI Life 5dr,Galway,3
Volkswagen Polo (BlueMotion 2),Volkswagen,2024-12-13,3505.0,2008,103276,Hatchback,Manual,Diesel,Blue Volkswagen Polo1.4 TDI BlueMotion 2 5dr,Waterford,16
Volkswagen T-Roc (SEL),Volkswagen,2024-12-17,19352.0,2018,31420,SUV,Manual,Petrol,Blue Volkswagen T-Roc1.5 TSI EVO SEL 5dr,Cork,6
Volkswagen Golf (TSI EVO),Volkswagen,2024-12-17,16169.0,2018,45253,Hatchback,Automatic,Petrol,Blue Volkswagen Golf1.5 SE NAVIGATION TSI EVO DSG 5d AUTO 129 BHP,Cork,6
Volkswagen Tiguan (R-Line),Volkswagen,2024-12-19,14075.0,2015,73104,SUV,Automatic,Diesel,Volkswagen Tiguan2.0 R LINE TDI BLUEMOTION TECH 4MOTION DSG 5d 139 BHP NATIONWIDE DELIVERY AVAILABLE!2 previous owners,Tipperary,9
Volkswagen Tiguan (R-Line),Volkswagen,2024-12-20,27755.0,2017,26055,SUV,Automatic,Petrol,Volkswagen Tiguan2.0 TSI R-Line DSG 4Motion (s/s) 5dr,Wexford,7
Volkswagen Passat (BlueMotion Tech),Volkswagen,2024-12-21,13503.0,2015,53236,Saloon,Manual,Diesel,Volkswagen Passat2.0 TDI SE Business 4dr2 previous owners,Tipperary,9
Volkswagen Golf (MHEV),Volkswagen,2024-12-22,29262.0,2021,3143,Hatchback,Automatic,Petrol Hybrid,Volkswagen Golf1.5 R-LINE ETSI DSG 5d 148 BHP *BALANCE OF VW WARRANTY 15/11/24*,Galway,3
Volkswagen Polo (Match),Volkswagen,2024-12-22,11845.0,2017,11693,Hatchback,Manual,Petrol,Silver Volkswagen Polo1.0 75 Match 5dr,Mayo,7
Mercedes-Benz GLA Class (GLA180),Benz,2024-01-02,28158.0,2019,10107,SUV,Automatic,Petrol,Red Mercedes-Benz GLAGla 180 Amg Line Edition 5Dr Auto 1.61 previous owner,Mayo,5
Mercedes-Benz C Class (BlueEfficiency),Benz,2024-01-02,7480.0,2011,96427,Saloon,Automatic,Diesel,Red Mercedes-Benz C Class2.1 C220 CDI BlueEfficiency Sport Edition 125 7G-Tronic 4dr,Wicklow,13
Mercedes-Benz C Class (C180),Benz,2024-01-03,7787.0,2012,97058,Saloon,Automatic,Petrol,Blue Mercedes-Benz C Class1.6 C180 BlueEfficiency Executive SE G-Tronic+ Euro 5 (s/s) 4dr,Dublin,12
