Model,Brand,Date of Sale,Sale Price (€),Year,Mileage,Classification,Transmission,Fuel Type,Description,Sale Location,Car Age at Sale
Audi A1 (TFSI),Audi,2024-03-20,12209.0,2017,27560,Hatchback,Manual,Petrol,Black Audi A11L Sport TFSI 3dr,Sligo,7
Audi A3 (TDI),Audi,2024-03-22,11063.0,2013,45898,Hatchback,Manual,Diesel,Blue Audi A32.0 TDI SPORT 3d 148 BHP,Waterford,11
Audi SQ5 (TFSI V6),Audi,2024-03-22,36001.0,2018,44048,SUV,Automatic,Petrol,Black Audi SQ53.0 TFSI quattro 354 PS tiptronic 5dr,Dublin,6
Audi A3 (TFSI),Audi,2024-03-24,5703.0,2010,65491,Hatchback,Automatic,Petrol,Audi A3TFSI SPORT 1.4 5dr,Offaly,14
Audi A3 (TDI),Audi,2024-03-25,9986.0,2016,92391,Saloon,Manual,Diesel,Red Audi A31.6 TDI SPORT NAV 4d 109 BHP ++DAB RADIO++CAMBELT DONE++,Wicklow,8
Audi A6 Saloon (S line),Audi,2024-03-25,26358.0,2018,65389,Saloon,Automatic,Diesel,Red Audi A6 Saloon3.0 TDI V6 50 S line Tiptronic quattro Euro 6 (s/s) 4dr,Galway,6
Audi E-Tron (Vorsprung),Audi,2024-03-25,87413.0,2022,2140,SUV,Automatic,Electric,Audi E-Tron55 Vorsprung Auto quattro 5dr 95kWh (11kW Charger)1 previous owner,Dublin,2
Audi A4 Cabriolet (Sport),Audi,2024-03-25,2031.0,2008,134006,Convertible,Manual,Diesel,Silver Audi A4 Cabriolet2.0 TDI Sport 2dr,Wicklow,16
Audi Q8 (Vorsprung),Audi,2024-03-26,64483.0,2019,22648,SUV,Automatic,Diesel,Black Audi Q8Q8 Vorsprung 50 TDI quattro 286 PS tiptronic 3.0 5dr,Dublin,5
Audi A8 (S line),Audi,2024-03-28,34790.0,2019,48163,Saloon,Automatic,Diesel,Navy Audi A83.0 TDI V6 50 S line Tiptronic quattro Euro 6 (s/s) 4dr,Wicklow,5
Audi TT (Sport),Audi,2024-03-28,23378.0,2018,21030,Coupe,Automatic,Petrol,Navy Audi TTCoup- Sport 2.0 TFSI quattro 230 PS S tronic 3dr,Cork,6
Audi A6 Saloon (TDI V6),Audi,2024-03-29,9269.0,2010,73312,Saloon,Automatic,Diesel,Silver Audi A6 Saloon3.0 TDI V6 Le Mans Tiptronic quattro Euro 5 4dr,Galway,14
