Model,Brand,Date of Sale,Sale Price,Year,Mileage,Classification,Transmission,Fuel Type,Description,Sale Location
Audi A1 (S line),Audi,31/03/2024,"€19,280.00",2019,"28,902",Hatchback,Manual,Petrol,Blue Audi A130 TFSI S Line 5dr 1.0,Wexford
Audi A1 (S line),Audi,01/04/2024,"€19,504.00",2019,"15,311",Hatchback,Manual,Petrol,Silver Audi A11.0 TFSI 30 S line Sportback Euro 6 (s/s) 5dr,Limerick
Audi Q5 (TDI),Audi,01/04/2024,"€8,267.00",2009,"100,920",SUV,Manual,Diesel,Black Audi Q52.0 TDI QUATTRO DPF S LINE 5d 168 BHP 12 MONTH MOT,Dublin
Audi A3 (S line),Audi,03/04/2024,"€4,780.00",2011,"117,500",Hatchback,Manual,Diesel,Blue Audi A32.0 TDI S line Euro 5 (s/s) 3dr4 previous owners,Dublin
Audi A5 (TDI),Audi,04/04/2024,"€ 11,437",2013,"89,106",Coupe,Auto,Diesel,Navy Audi A52.0 TDI Black Edition Multitronic 2dr3 previous owners,Dublin
Audi Q2 (Technik),Audi,05/04/2024,"€20,153.00",2021,"17,158",SUV,Manual,Petrol,Red Audi Q21.0 TFSI TECHNIK 5d 109 BHP Parking Sensors-Cruise Control1 previous owner,Kilkenny
Audi A4 (TFSI),Audi,06/04/2024,"€14,941.00",2014,"43,082",Saloon,Automatic,Petrol,Red Audi A42.0 TFSI S line S Tronic quattro 4dr2 previous owners,Cork
Audi R8 (FSI V8),Audi,06/04/2024,"€ 37,245",2008,"81,704",Coupe,Manual,Petrol,Blue Audi R8QUATTRO 4.2 2dr,Dublin
Audi S5 (TFSI V6),Audi,06/04/2024,"€29,308.00",2017,"25,462",Coupe,Automatic,Petrol,Blue Audi S53.0 TFSI V6 Tiptronic quattro (s/s) 2dr,Dublin
Audi Q7 (TFSI V6),Audi,2024-04-09,"€64,229.00",2021,"4,986",SUV,Automatic,Petrol,"Black Audi Q755 TFSI QUATTRO S LINE BLACK EDITION 5dr 336 BHP Space, Power, Presence 3.01 previous owner",Clare
Audi A8 (SE Executive),Audi,10/04/2024,"€14,658.00",2014,78205,Saloon,Automatic,Diesel,Red Audi A83.0 TDI V6 SE Executive Tiptronic quattro Euro 6 (s/s) 4dr5 previous owners,Dublin
Audi A8 (Executive SE),Audi,2024-04-10,"€8,743.00",2010,146129,Saloon,Automatic,Diesel,Grey Audi A84.2 TDI V8 Executive SE Tiptronic quattro 4dr,Westmeath
Audi A5 (S line),Audi,10/04/2024,"€21,975.00",2017,"58,334",Coupe,Automatic,Diesel,Black Audi A53.0 TDI V6 S line S Tronic quattro Euro 6 (s/s) 2dr2 previous owners,Louth
Audi A1 (Sport),Audi,12/04/2024,"€ 13,876",2018,"28,773",Hatchback,Manual,Petrol,Grey Audi A11.0 TFSI GPF Sport Hatchback 3dr Petrol Euro 6 (s/s) (Nav) (95 ps)1 previous owner,Meath
Audi Q3 (TFSI),Audi,13/04/2024,"€12,818.00",2014,"72,687",SUV,Manual,Petrol,Black Audi Q3SE 1.4 TFSI 150 PS 6 speed 5dr,Dublin
