Model,Brand,Date of Sale,Sale Price,Year,Mileage,Classification,Transmission,Fuel Type,Description,Sale Location
BMW IX (40),BMW,11/10/2024,"€78,694.00",2022,"6,891",SUV,Automatic,Electric,Red BMW I SeriesiX xDrive40 M Sport 5dr1 previous owner,Kildare
BMW M4 (BiTurbo),BMW,2024-10-11,"€40,294.00",2020,"3,597",Convertible,Automatic,Petrol,Blue BMW M43.0 BiTurbo Competition DCT (s/s) 2dr1 previous owner,Tipperary
BMW X1 (18d),BMW,12/10/2024,"€10,354.00",2014,"95,311",SUV,Automatic,Diesel,Navy BMW X12.0 18d xLine Auto xDrive Euro 5 (s/s) 5dr,Offaly
BMW 3 Series (320i),BMW,14/10/2024,"€11,470.00",2012,"77,183",Saloon,Manual,Petrol,Blue BMW 3 Series2.0 320i M Sport xDrive Euro 5 (s/s) 4dr2 previous owners,Monaghan
BMW 3 Series (320d),BMW,14/10/2024,"€10,729.00",2014,"86,938",Saloon,Automatic,Diesel,Black BMW 3 Series2.0 320d M Sport Auto Euro 5 (s/s) 4dr4 previous owners,Kildare
BMW 4 Series Gran Coupe (M Sport),BMW,2024-10-16,"€22,440.00",2016,"18,120",Hatchback,Automatic,Diesel,Grey BMW 4 SERIES420D XDRIVE M SPORT GRAN COUPE 2.0 5dr,Westmeath
BMW 4 Series (435d),BMW,2024-10-17,"€29,973.00",2019,"14,171",Convertible,Automatic,Diesel,Navy BMW 4 Series3.0 435d M Sport Auto xDrive Euro 6 (s/s) 2dr1 previous owner,Dublin
BMW X1 (20i),BMW,17/10/2024,"€38,199.00",2022,"1,601 miles",SUV,Automatic,Petrol,BMW X1 SeriesX1 sDrive20i M Sport 2.0 5dr2 previous owners,Wicklow
BMW 3 Series (M Sport),BMW,19/10/2024,"€ 7,135",2009,"78,154",Convertible,Automatic,Petrol,Red BMW 3 Series3.0 325i M Sport 2dr,Cork
BMW 7 Series (M Sport),BMW,19/10/2024,"€ 29,125",2015,"33,977",Saloon,Automatic,Diesel,Red BMW 7 Series3.0 730Ld M Sport Auto Euro 6 (s/s) 4dr3 previous owners,Dublin
BMW X5 (M Sport),BMW,19/10/2024,"€29,442.00",2015,"49,222",SUV,Automatic,Diesel,Navy BMW X5XDRIVE30D M SPORT 3.0 5dr,Louth
BMW X3 (M Sport),BMW,2024-10-19,"€11,349.00",2013,"89,445 miles",SUV,Automatic,Diesel,BMW X33.0 30d M Sport SUV 5dr Diesel Auto xDrive Euro 5 (s/s) (258 ps)4 previous owners,Clare
BMW X3 (M Sport),BMW,21/10/2024,"€15,396.00",2011,"47,259",SUV,Automatic,Diesel,BMW X33.0 30d M Sport Steptronic xDrive Euro 5 (s/s) 5dr1 previous owner,Dublin
BMW 5 Series (SE),BMW,2024-10-21,"€9,091.00",2011,"106,072",Estate,Automatic,Diesel,Red BMW 5 Series2.0 525d SE Touring Steptronic (s/s) 5dr3 previous owners,Waterford
BMW Z4 (20i),BMW,22/10/2024,"€13,757.00",2012,"40,423",Convertible,Manual,Petrol,Silver BMW Z42.0 20i M Sport sDrive Euro 5 (s/s) 2dr,Cork
BMW 5 Series (MHT),BMW,2024-10-22,"€ 39,240",2021,11660,Saloon,Automatic,Diesel Hybrid,BMW 5 Series520d M Sport Saloon 2.0 4dr1 previous owner,Galway
BMW X1 (20d),BMW,25/10/2024,"€20,083.00",2017,"20,356",SUV,Automatic,Diesel,Silver BMW X1 XDRIVE20D SPORT AUTOPLEASE ENTER FULL DE 2.0 5dr,Dublin
BMW 4 Series (M Sport),BMW,2024-10-25,"€19,657.00",2015,"62,436",Coupe,Automatic,Diesel,Blue BMW 4 Series3.0 430d M Sport Auto Euro 6 (s/s) 2dr3 previous owners,Clare
BMW 1 Series (M Sport),BMW,26/10/2024,"€ 10,141",2014,"67,508",Hatchback,Manual,Diesel,Red BMW 1 Series2.0 116d M Sport Euro 5 (s/s) 5dr2 previous owners,Kildare
BMW 4 Series (M440d),BMW,29/10/2024,"€55,456.00",2022,"1,580",Convertible,Automatic,Diesel Hybrid,Blue BMW 4 SeriesM440d xDrive Convertible 3.0 2dr1 previous owner,Dublin
BMW 3 Series (M Sport Shadow Edition),BMW,29/10/2024,"€22,031.00",2018,"38,204",Saloon,Automatic,Diesel,Red BMW 3 Series320d xDrive M Sport Shadow Edition 4dr Step Auto Leather Seats 2.0,Carlow
BMW 1 Series (116d),BMW,30/10/2024,"€15,155.00",2018,"50,323",Hatchback,Manual,Diesel,Navy BMW 1 SERIES116D M SPORT SHADOW EDITION FIVE DOOR 115 BHP SAT NAV + LEATHER SIX MONTH WARRANTY SEPT 2023 MOT 1.5 5dr2 previous owners,Dublin
BMW 2 Series (Sport),BMW,2024-10-31,"€15,764.00",2017,"46,657",Convertible,Manual,Petrol,BMW 2 Series218i Sport Convertible 1.5 2dr3 previous owners,Cork
BMW 5 Series (525d),BMW,01/11/2024,"€6,195.00",2011,"124,373",Estate,Automatic,Diesel,Blue BMW 5 Series3.0 525d SE Touring Steptronic 5dr4 previous owners,Cork
BMW X5 (M Sport),BMW,03/11/2024,"€21,959.00",2014,"89,462",SUV,Automatic,Diesel,Grey BMW X53.0 40d M Sport Auto xDrive (s/s) 5dr4 previous owners,Wexford
BMW 4 Series (420d),BMW,03/11/2024,"€27,195.00",2020,"20,667",Convertible,Automatic,Diesel,Red BMW 4 Series2.0 420d M Sport Auto Euro 6 (s/s) 2dr2 previous owners,Offaly
BMW X5 (M Sport),BMW,03/11/2024,"€18,772.00",2013,"56,872",S.U.V.,Automatic,Diesel,Red BMW X53.0 30d M Sport Auto xDrive Euro 5 5dr3 previous owners,Dublin
BMW 4 Series (M440i),BMW,06/11/2024,"€ 61,370",2022,"7,314",Convertible,Auto,Petrol Hybrid,BMW 4 SeriesM440i xDrive Convertible 3.0 2dr1 previous owner,Monaghan
BMW X1 (20d),BMW,07/11/2024,"€5,462.00",2009,"109,489 miles",SUV,Manual,Diesel,Navy BMW X12.0 20d SE xDrive Euro 5 5dr,Wexford
BMW 3 Series (330e),BMW,07/11/2024,"€18,737.00",2018,"64,098",Saloon,Automatic,Petrol Plug-In Hybrid,Red BMW 3 Series2.0 330e 7.6kWh M Sport Auto Euro 6 (s/s) 4dr1 previous owner,Kerry
BMW 3 Series (SE),BMW,08/11/2024,"€10,280.00",2009,"42,053",Estate,Auto,Diesel,Black BMW 3 Series2.0 320d SE Touring 5dr1 previous owner,Donegal
BMW 4 Series (M Sport),BMW,09/11/2024,"€13,282.00",2015,"74,683",Coupe,Automatic,Diesel,Black BMW 4 Series2.0 420d M Sport Auto (s/s) 2dr3 previous owners,Cork
BMW 5 Series (SE),BMW,09/11/2024,"€14,814.00",2014,"38,640",Estate,Automatic,Diesel,Grey BMW 5 Series520d SE 5dr Step Auto 2.03 previous owners,Leitrim
BMW 4 Series (M Sport),BMW,10/11/2024,"€16,732.00",2015,70021,Coupe,Automatic,Diesel,Red BMW 4 Series3.0 430d M Sport Auto Euro 6 (s/s) 2dr2 previous owners,Cork
BMW X5 (50i V8),BMW,11/11/2024,"€34,253.00",2014,"28,492",SUV,Automatic,Petrol,"Blue BMW X54.4 XDRIVE50I SE 7 SEAT 5d 443 BHP OVER \xa315,000 OF OPTIONS! LOW MILAGE",Wicklow
BMW 4 Series (M Sport),BMW,13/11/2024,"€20,477.00",2016,"52,535",Convertible,Automatic,Diesel,Black BMW 4 Series420d M Sport Convertible 2.0 2dr1 previous owner,Dublin
BMW 3 Series (320d ED),BMW,13/11/2024,"€7,124.00",2013,"127,509",Saloon,Automatic,Diesel,Grey BMW 3 Series2.0 320d ED EfficientDynamics Auto Euro 5 (s/s) 4dr6 previous owners,Dublin
BMW 3 Series (M340d),BMW,13/11/2024,"€42,867.00",2021,"19,930",Estate,Automatic,Diesel Hybrid,Navy BMW 3 SeriesM340d xDrive Touring 3.0 5dr1 previous owner,Cork
