Model,Brand,Date of Sale,Sale Price,Year,Mileage,Classification,Transmission,Fuel Type,Description,Sale Location
Mercedes-Benz C Class (C200h),Benz,04/09/2024,"€50,281.00",2022,"6,063",Saloon,Automatic,Petrol Hybrid,Red Mercedes-Benz C ClassC200 Amg Line Premium 4Dr 9G-Tronic 1.51 previous owner,Laois
Mercedes-Benz SLK (SLK200K),Benz,05/09/2024,"€6,596.00",2009,"93,039",Convertible,Automatic,Petrol,Black Mercedes-Benz SLK1.8 SLK200K 2dr,Kilkenny
Mercedes-Benz A Class (Sport),Benz,05/09/2024,"€20,929.00",2019,"32,681",Hatchback,Automatic,Petrol,Red Mercedes-Benz A-Class1.3 A 180 SPORT EXECUTIVE 5d 135 BHP +++ FREE 6 MONTH WARRANTY +++2 previous owners,Dublin
Mercedes-Benz C Class (BlueTEC),Benz,06/09/2024,"€15,227.00",2014,"59,425",Saloon,Automatic,Diesel,Red Mercedes-Benz C Class2.1 C220 BlueTEC AMG Line G-Tronic+ Euro 6 (s/s) 4dr,Dublin
Mercedes-Benz C Class (BlueTEC),Benz,07/09/2024,"€14,644.00",2014,"71,190",Saloon,Automatic,Diesel,Mercedes-Benz C ClassC220 BLUETEC AMG LINE used cars 2.1 4dr,Cork
Mercedes-Benz C Class (EQ Boost),Benz,07/09/2024,"€25,803.00",2019,"32,272",Coupe,Automatic,Petrol,Black Mercedes-Benz C Class1.5L AMG Line EQ Boost C200 2dr,Limerick
Mercedes-Benz CLK (CLK200),Benz,2024-09-08,"€6,154.00",2008,"85,140",Convertible,Automatic,Petrol,Navy Mercedes-Benz CLK1.8 CLK200 Kompressor Sport Cabriolet 2dr,Leitrim
Mercedes-Benz Eqa (AMG Line),Benz,08/09/2024,"€ 51,308",2021,"7,569",SUV,Automatic,Electric,Black Mercedes-Benz EQAEqa 250 140Kw Amg Line 66.5Kwh 5Dr Auto1 previous owner,Dublin
Mercedes-Benz GLE Class (AMG S),Benz,08/09/2024,"€46,184.00",2015,"61,558",Coupe,Automatic,Petrol,Black Mercedes-Benz Gle Class5.5 GLE63 V8 AMG S (Premium) SpdS+7GT 4MATIC Euro 6 (s/s) 5dr,Dublin
Mercedes-Benz CLA Class (CLA200d),Benz,08/09/2024,"€16,615.00",2017,86721,Saloon,Automatic,Diesel,Mercedes-Benz Cla ClassCLA 200d AMG Line 4dr Tip Auto 2.12 previous owners,Louth
Mercedes-Benz A Class (SE),Benz,08/09/2024,"€8,323.00",2015,"95,263",Hatchback,Manual,Diesel,Red Mercedes-Benz A Class1.5 A180 CDI ECO SE 5dr3 previous owners,Carlow
Mercedes-Benz C Class (C200),Benz,10/09/2024,"€19,796.00",2017,"37,856",Coupe,Manual,Petrol,Grey Mercedes-Benz C Class2L AMG Line C200 2dr,Dublin
Mercedes-Benz E Class (E220),Benz,2024-09-10,"€15,143.00",2015,"60,142",Convertible,Automatic,Diesel,Blue Mercedes-Benz E Class2.1 E220 BlueTEC AMG Line Cabriolet 2dr Diesel G-Tronic+ Euro 6 (s/s) (177 ps)1 previous owner,Wexford
Mercedes-Benz E Class (E220 CDI),Benz,2024-09-11,"€8,488.00",2014,"131,548",Saloon,Automatic,Diesel,Navy Mercedes-Benz E Class2.1 E220 CDI SE 7G-Tronic Plus 4dr3 previous owners,Dublin
Mercedes-Benz A Class (A200d),Benz,2024-09-12,"€19,924.00",2018,"47,343",Hatchback,Automatic,Diesel,Black Mercedes-Benz A Class2.1 A200d AMG Line (Premium Plus) 7G-DCT Euro 6 (s/s) 5dr,Offaly
