Model,Brand,Date of Sale,Sale Price,Year,Mileage,Classification,Transmission,Fuel Type,Description,Sale Location
Volkswagen Golf (BlueMotion Tech),Volkswagen,2024-08-12,"€8,678.00",2015,"78,333",Hatchback,Manual,Diesel,"Navy Volkswagen GolfGolf 1.6 TDI BlueMotion Tech Match Hatchback 5dr Diesel Manual (s/s) (99 g/km, 104 bhp)2 previous owners",Galway
Volkswagen Tiguan (Match Edition),Volkswagen,14/08/2024,"€11,624.00",2016,"85,123",SUV,Manual,Diesel,Volkswagen Tiguan2.0 TDI BlueMotion Tech Match Edition 4WD Euro 6 (s/s) (150 ps) 5dr2 previous owners,Dublin
Volkswagen Passat (TSI EVO),Volkswagen,2024-08-14,"€ 24,042",2020,"19,341",Estate,Automatic,Petrol,Red Volkswagen Passat1.5 TSI 150ps SE DSG Estate *2 years warranty & 2 years roadside assistance 5dr1 previous owner,Kerry
Volkswagen T-Roc (TSI),Volkswagen,14/08/2024,"€17,406.00",2018,33097,SUV,Manual,Petrol,Red Volkswagen T-Roc1.0 TSI 115PS SE 5dr1 previous owner,Longford
Volkswagen Taigo (R-Line),Volkswagen,16/08/2024,"€28,389.00",2022,"3,130",SUV,Automatic,Petrol,Silver Volkswagen Taigo Hatchback1.5 TSI 150 R-Line 5dr DSG1 previous owner,Kerry
Volkswagen Polo (Match),Volkswagen,16/08/2024,"€11,151.00",2016,"20,532",Hatchback,Manual,Petrol,Red Volkswagen Polo1.0 Bluemotion Tech Match Hatchback 5dr Petrol Manual Euro 6 (s/s) (75 Ps)2 previous owners,Sligo
Volkswagen Polo (TDI),Volkswagen,17/08/2024,"€4,812.00",2010,"96,238",Hatchback,Manual,Diesel,Blue Volkswagen Polo1.6 TDI SEL Euro 5 5dr,Cork
Volkswagen Passat (SE Business),Volkswagen,17/08/2024,"€9,251.00",2015,"105,219",Estate,Manual,Diesel,Silver Volkswagen Passat1.6 TDI BlueMotion Tech SE Business (s/s) 5dr1 previous owner,Westmeath
Volkswagen Tiguan (TDI),Volkswagen,18/08/2024,"€11,188.00",2015,"75,061",SUV,Manual,Diesel,Grey Volkswagen Tiguan2.0 TDi BlueMotion Tech Match 150 4MOTION 5dr,Tipperary
Volkswagen Golf (Match Edition),Volkswagen,19/08/2024,"€ 9,356",2016,"75,268",Hatchback,Manual,Diesel,Black Volkswagen Golf1.6 TDI BlueMotion Tech Match Edition Euro 6 (s/s) 5dr2 previous owners,Cork
Volkswagen Tiguan (Match Edition),Volkswagen,20/08/2024,"€13,364.00",2015,"77,350 miles",SUV,Manual,Diesel,Black Volkswagen Tiguan2.0 TDI BlueMotion Tech Match Edition 2WD (s/s) 5dr2 previous owners,Cork
Volkswagen T-Roc (SEL),Volkswagen,21/08/2024,"€22,253.00",2018,"20,846",SUV,Manual,Petrol,Red Volkswagen T-Roc1.5 TSI EVO SEL 5dr,Mayo
Volkswagen Passat (BlueMotion Tech),Volkswagen,22/08/2024,"€14,657.00",2016,"80,403 miles",Estate,Automatic,Diesel,Navy Volkswagen Passat2.0 TDI BlueMotion Tech Alltrack DSG 4Motion Euro 6 (s/s) 5dr,Donegal
Volkswagen Golf (GTD),Volkswagen,23/08/2024,"€14,663.00",2015,"46,982",Hatchback,Manual,Diesel,Black Volkswagen Golf2.0 TDI GTD 5dr5 previous owners,Dublin
Volkswagen Passat (TDI),Volkswagen,23/08/2024,"€9,479.00",2016,"90,199",Saloon,Manual,Diesel,Volkswagen Passat1.6 TDI BlueMotion Tech SE Business Euro 6 (s/s) 4dr1 previous owner,Dublin
Volkswagen Passat (Highline),Volkswagen,24/08/2024,"€ 3,908",2009,"127,363",Estate,Automatic,Diesel,Blue Volkswagen Passat2.0 TDI Highline DSG Euro 5 5dr2 previous owners,Limerick
Volkswagen Polo (BlueMotion Tech),Volkswagen,2024-08-25,"€9,969.00",2014,"45,324",Hatchback,Automatic,Petrol,Grey Volkswagen Polo1.2 TSI BlueMotion Tech SE DSG Euro 6 (s/s) 3dr3 previous owners,Cork
Volkswagen Golf (TDI),Volkswagen,2024-08-27,"€7,610.00",2012,"48,207",Estate,Manual,Diesel,Grey Volkswagen Golf1.6 TDI SE Euro 5 5dr1 previous owner,Louth
Volkswagen Beetle (Sport),Volkswagen,28/08/2024,"€ 7,827",2012,"70,277",Hatchback,Manual,Petrol,Black Volkswagen Beetle1.4 TSI Sport Euro 5 3dr,Meath
Volkswagen Polo (BlueMotion Tech),Volkswagen,28/08/2024,"€8,087.00",2015,"57,989",Hatchback,Manual,Petrol,Red Volkswagen Polo1.0L SE 5d 60 BHP2 previous owners,Dublin
Volkswagen CC (TDI),Volkswagen,2024-08-28,"€13,139.00",2014,"39,985",Saloon,Automatic,Diesel,Navy Volkswagen CC2.0 TDI BlueMotion Tech GT DSG Euro 5 (s/s) 4dr3 previous owners,Dublin
Volkswagen T-Cross (SE),Volkswagen,29/08/2024,"€20,462.00",2021,5000,SUV,Manual,Petrol,Grey Volkswagen T-Cross1.0 TSI SE 5dr1 previous owner,Cork
Volkswagen Polo (BlueMotion Tech),Volkswagen,03/09/2024,"€10,397.00",2016,"32,696",Hatchback,Manual,Petrol,Black Volkswagen Polo1.2 TSI Match 90PS 3Dr Hatchback,Limerick
Volkswagen Tiguan (R-Line),Volkswagen,03/09/2024,"€13,176.00",2011,"37,042 miles",S.U.V.,Automatic,Diesel,Navy Volkswagen Tiguan2.0 TDI R-Line DSG 4WD Euro 5 5dr,Clare
Volkswagen Golf (GT),Volkswagen,04/09/2024,"€13,935.00",2018,"54,202 miles",Hatchback,Manual,Diesel,Red Volkswagen Golf1.6 TDI GT 5dr,Meath
Volkswagen Golf (GTI),Volkswagen,2024-09-04,"€12,753.00",2014,"91,314",Hatchback,Automatic,Petrol,Black Volkswagen Golf2.0 TSI BlueMotion Tech GTI DSG Euro 6 (s/s) 5dr,Wexford
Volkswagen Polo (TSI),Volkswagen,05/09/2024,"€10,119.00",2017,"44,714",Hatchback,Manual,Petrol,Black Volkswagen Polo1.2 TSI Match (s/s) 5dr2 previous owners,Donegal
Volkswagen Golf (TDI),Volkswagen,07/09/2024,"€3,780.00",2010,"108,486",Hatchback,Manual,Diesel,Blue Volkswagen Golf1.6 TDI SE Hatchback 5dr Diesel Manual Euro 5 (105 ps)1 previous owner,Dublin
Volkswagen CC (BlueMotion Tech),Volkswagen,10/09/2024,"€7,850.00",2015,"94,091",Saloon,Manual,Diesel,Red Volkswagen CC2.0 TDI BlueMotion Tech GT Euro 6 (s/s) 4dr2 previous owners,Dublin
Volkswagen T-Roc (TSI),Volkswagen,10/09/2024,"€33,156.00",2020,"10,551",SUV,Automatic,Petrol,Black Volkswagen T-Roc2.0 TSI 4MOTION R 5dr DSG,Kildare
Volkswagen up! (High up!),Volkswagen,12/09/2024,"€7,461.00",2013,"40,014",Hatchback,Manual,Petrol,Grey Volkswagen UP1.0 BLUEMOTION TECH HIGH UP 3DR1 previous owner,Dublin
Volkswagen ID.4 (Pro Performance),Volkswagen,2024-09-13,"€51,176.00",2021,"12,285",SUV,Automatic,Electric,Navy Volkswagen ID4MAX 5d 202 BHP VW WARRANTY UNTIL 16/12/2024!1 previous owner,Tipperary
Volkswagen ID.3 (Pro Performance),Volkswagen,14/09/2024,"€37,491.00",2021,"19,673",Hatchback,Automatic,Electric,Grey Volkswagen ID.3Pro Performance 58kWh Business Auto 5dr,Meath
Volkswagen Tiguan (SEL),Volkswagen,15/09/2024,"€20,200.00",2016,"50,491",SUV,Automatic,Petrol,Grey Volkswagen Tiguan2.0 TSi 180 4Motion SEL DSG 5dr,Kerry
Volkswagen Polo (Match Edition),Volkswagen,2024-09-15,"€13,979.00",2017,"20,060",Hatchback,Automatic,Petrol,Blue Volkswagen Polo1.2 TSI BlueMotion Tech Match Edition DSG Euro 6 (s/s) 5dr2 previous owners,Dublin
Volkswagen Golf (R-Line Edition),Volkswagen,15/09/2024,"€23,789.00",2020,"9,875",Hatchback,Auto,Diesel,Blue Volkswagen Golf2.0 TDI R-Line Edition 5dr DSG,Cork
Volkswagen Tiguan (Match),Volkswagen,16/09/2024,"€25,187.00",2019,"10,943",SUV,Automatic,Diesel,Silver Volkswagen Tiguan2.0 TDi 190 4Motion Match 5dr DSG,Kerry
Volkswagen Golf (R-Line),Volkswagen,16/09/2024,"€29,924.00",2022,"5,111",Hatchback,Automatic,Petrol Hybrid,Black Volkswagen Golf1.5 Etsi 150 R-Line 5Dr Dsg1 previous owner,Meath
Volkswagen Tiguan (TDI),Volkswagen,16/09/2024,"€ 12,767",2015,"47,735 miles",SUV,Automatic,Diesel,Grey Volkswagen Tiguan2.0 TDI BlueMotion Tech Match DSG 4WD Euro 5 (s/s) 5dr2 previous owners,Cork
Volkswagen Scirocco (GT),Volkswagen,2024-09-17,"€13,250.00",2014,"33,942",Hatchback,Automatic,Diesel,Black Volkswagen Scirocco2.0 GT TDI BLUEMOTION TECHNOLOGY DSG 2d 182 BHP2 previous owners,Kildare
Volkswagen Golf (TSI EVO),Volkswagen,18/09/2024,"€ 18,874",2020,"11,097",Hatchback,Manual,Petrol,Volkswagen GolfMK7 Facelift 1.5 TSI (130ps)Match Edition EVO 5dr1 previous owner,Tipperary
Volkswagen T-Cross (TSI),Volkswagen,18/09/2024,"€ 17,736",2019,"10,959",SUV,Manual,Petrol,Blue Volkswagen T-Cross1.0 TSI S 5dr,Wicklow
Volkswagen Golf (GTI),Volkswagen,19/09/2024,"€32,747.00",2021,"5,942",Hatchback,Automatic,Petrol,Blue Volkswagen GolfGTI TSI DSG 2.0 5dr,Laois
Volkswagen T-Cross (SE),Volkswagen,19/09/2024,"€17,487.00",2020,"25,457 miles",S.U.V.,Manual,Petrol,Volkswagen T-Cross1.0 Tsi 115 Se 5Dr1 previous owner,Dublin
Volkswagen ID.3 (Pro Performance),Volkswagen,2024-09-19,"€36,949.00",2020,"11,333",Hatchback,Automatic,Electric,Black Volkswagen ID.3Business Pro Performance (204ps) Auto 5dr1 previous owner,Dublin
Volkswagen T-Roc (TSI EVO),Volkswagen,20/09/2024,"€22,866.00",2019,"15,117",SUV,Manual,Petrol,Red Volkswagen T-Roc2017 1.5 TSI SEL 150PS EVO 5dr,Dublin
Volkswagen Golf (Match Edition),Volkswagen,20/09/2024,"€11,657.00",2016,48218,Hatchback,Manual,Diesel,Grey Volkswagen Golf1.6 TDI BlueMotion Tech Match Edition Sat Nav 5dr2 previous owners,Dublin
Volkswagen Touareg (TDI V6),Volkswagen,20/09/2024,"€25,181.00",2017,"36,892",SUV,Automatic,Diesel,Blue Volkswagen Touareg3.0 TDI V6 R-Line Tiptronic 4WD Euro 6 (s/s) 5dr2 previous owners,Dublin
Volkswagen Golf (Match Edition),Volkswagen,20/09/2024,"€19,681.00",2020,"14,461",Estate,Manual,Diesel,Blue Volkswagen GolfEstate Match Edition 1.6 TDI 115PS Manual [DASHCAMS + TOWBAR] 5dr1 previous owner,Cork
Volkswagen Golf (Match),Volkswagen,21/09/2024,"€10,805.00",2015,"50,800",Hatchback,Manual,Diesel,Black Volkswagen Golf1.6 MATCH TDI BLUEMOTION TECHNOLOGY 5d 109 BHP,Dublin
Volkswagen Tiguan (Match),Volkswagen,24/09/2024,"€12,390.00",2015,"81,442",SUV,Automatic,Diesel,Blue Volkswagen Tiguan2.0 TDI BlueMotion Tech Match DSG 4WD Euro 5 (s/s) 5dr2 previous owners,Kilkenny
Volkswagen Tiguan (SEL),Volkswagen,26/09/2024,"€26,173.00",2019,"37,444 miles",SUV,Automatic,Petrol,Red Volkswagen Tiguan2.0 SEL TSI 4MOTION DSG 5d 188 BHP 1 OWNER+ PAN ROOF+SAT NAV+DYN AUDIO,Leitrim
Volkswagen Passat (TSI),Volkswagen,26/09/2024,"€31,611.00",2021,"33,316",Estate,Automatic,Petrol Plug-In Hybrid,Silver Volkswagen Passat1.4 TSI PHEV GTE 5dr DSG,Dublin
